INFO:django.utils.autoreload: C:\Users\Lenovo\Desktop\work\AdvancedDjango\week3\jira\settings.py changed, reloading. (2019-11-26 00:53:26; autoreload.py:217)
INFO:django.utils.autoreload: Watching for file changes with StatReloader (2019-11-26 00:53:28; autoreload.py:597)
INFO:django.utils.autoreload: C:\Users\Lenovo\Desktop\work\AdvancedDjango\week3\jira\settings.py changed, reloading. (2019-11-26 00:56:09; autoreload.py:217)
INFO:django.utils.autoreload: Watching for file changes with StatReloader (2019-11-26 00:56:11; autoreload.py:597)
INFO:django.utils.autoreload: Watching for file changes with StatReloader (2019-11-26 00:56:16; autoreload.py:597)
INFO:django.utils.autoreload: Watching for file changes with StatReloader (2019-12-03 19:49:53; autoreload.py:597)
WARNING:django.request: Not Found: /favicon.ico (2019-12-03 19:50:18; log.py:228)
INFO:django.utils.autoreload: C:\Users\User94\Desktop\django\AdvancedDjango\week3\main\managers.py changed, reloading. (2019-12-03 19:55:44; autoreload.py:217)
INFO:django.utils.autoreload: Watching for file changes with StatReloader (2019-12-03 19:55:45; autoreload.py:597)
INFO:django.utils.autoreload: C:\Users\User94\Desktop\django\AdvancedDjango\week3\main\managers.py changed, reloading. (2019-12-03 19:58:20; autoreload.py:217)
INFO:django.utils.autoreload: Watching for file changes with StatReloader (2019-12-03 19:58:21; autoreload.py:597)
INFO:django.utils.autoreload: C:\Users\User94\Desktop\django\AdvancedDjango\week3\main\managers.py changed, reloading. (2019-12-03 19:59:51; autoreload.py:217)
INFO:django.utils.autoreload: Watching for file changes with StatReloader (2019-12-03 19:59:51; autoreload.py:597)
INFO:django.utils.autoreload: C:\Users\User94\Desktop\django\AdvancedDjango\week3\main\managers.py changed, reloading. (2019-12-03 20:01:06; autoreload.py:217)
INFO:django.utils.autoreload: Watching for file changes with StatReloader (2019-12-03 20:01:07; autoreload.py:597)
INFO:django.utils.autoreload: C:\Users\User94\Desktop\django\AdvancedDjango\week3\main\models.py changed, reloading. (2019-12-03 20:02:57; autoreload.py:217)
INFO:django.utils.autoreload: Watching for file changes with StatReloader (2019-12-03 20:02:58; autoreload.py:597)
